"Slug","Name","Category"
"mushroom","Mushroom","veggies"
"eggplant","Eggplant",""
"shrimp","Shrimp","protein"
"pineapple","Pineapple","veggies"
"cauliflower","Cauliflower","veggies"
"lettuce","Lettuce","veggies"
"mango","Mango","veggies"
"tofu","Tofu","veg-protein"
"orzo","Orzo","carbs"
"peas","Peas","veg-protein"
"feta-cheese","Feta Cheese","dairy"
"cream-cheese","Cream Cheese","dairy"
"yoghurt","Yoghurt","dairy"
"melting-cheese","Melting Cheese","dairy"
"burger-buns","Burger Buns","carbs"
"nacho-chips","Nacho Chips","carbs"
"filo","Filo","carbs"
"dumplings","Dumplings","carbs"
"rice","Rice","carbs"
"sweet-potatoes","Sweet Potatoes","carbs"
"zucchini","Zucchini","veggies"
"spinach","Spinach","veggies"
"leek","Leek","veggies"
"celery","Celery","veggies"
"kale","Kale","veggies"
"carrot","Carrot","veggies"
"tomatoes","Tomatoes","veggies"
"cucumber","Cucumber","veggies"
"avocado","Avocado","veggies"
"green-lentils","Green Lentils","veg-protein"
"black-beans","Black Beans","veg-protein"
"white-beans","White Beans","veg-protein"
"peanuts","Peanuts","veg-protein"
"chickpeas","Chickpeas","veg-protein"
"cod-fish","Cod Fish","protein"
"mussels","Mussels","protein"
"wings","Wings","protein"
"chicken","Chicken","protein"
"sausage","Sausage","protein"
"pork","Pork","protein"
"burger-patty","Burger Patty","protein"
"salmon","Salmon","protein"
"potatoes","Potatoes","carbs"
"broccoli","Broccoli","veggies"
"noodles","Noodles","carbs"
"onion","Onion","veggies"
"paprika","Paprika","veggies"
"ribs","Ribs","protein"
"cabbage","Cabbage","veggies"
"meatballs","Meatballs","protein"
"minced-meat","Minced Meat","protein"
"beef","Beef","protein"