"Slug","Title","Tag Category","Content"
"estonian","Estonian","cuisine",""
"seafood","Seafood","type",""
"pasta","Pasta","type",""
"thai","Thai","cuisine",""
"japanese","Japanese","cuisine",""
"vietnamese","Vietnamese","cuisine",""
"vegetarian","Vegetarian","type",""
"salad","Salad","type",""
"cheat-meal","Cheat Meal","type",""
"deep-fry","Deep-fry","type",""
"one-pot","One-pot","type",""
"stir-fry","Stir-fry","type",""
"slowcooked","Slowcooked","type",""
"oven-baked","Oven-baked","type",""
"soup","Soup","type",""
"chinese","Chinese","cuisine",""
"indian","Indian","cuisine",""
"mexican","Mexican","cuisine",""
"turkish","Turkish","cuisine",""